sample,fastq_1,fastq_2,strandedness,mouse_n,population,inoculum,dpi,group_assignment,inoculation_batch,sample_mass_mg,date_nuc_prep,incubation_time_hrs
918310-RML-60-1-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918310-RML-60-1-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918310-RML-60-1-NeuN_R2.fastq.gz,auto,918310,NeuN,RML,60,group_RML_60,BATCH4,246,2025-05-06,19.0
918310-RML-60-1-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918310-RML-60-1-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918310-RML-60-1-SOX10_R2.fastq.gz,auto,918310,SOX10,RML,60,group_RML_60,BATCH4,246,2025-05-06,19.0
918310-RML-60-1-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918310-RML-60-1-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918310-RML-60-1-SOX2_R2.fastq.gz,auto,918310,SOX2,RML,60,group_RML_60,BATCH4,246,2025-05-06,19.0
918310-RML-60-1-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918310-RML-60-1-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918310-RML-60-1-PU1_R2.fastq.gz,auto,918310,PU1,RML,60,group_RML_60,BATCH4,246,2025-05-06,19.0
917423-22L-120-19-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917423-22L-120-19-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917423-22L-120-19-NeuN_R2.fastq.gz,auto,917423,NeuN,22L,120,group_22L_120,BATCH3,207,2025-05-06,19.67
917423-22L-120-19-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917423-22L-120-19-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917423-22L-120-19-SOX10_R2.fastq.gz,auto,917423,SOX10,22L,120,group_22L_120,BATCH3,207,2025-05-06,19.67
917423-22L-120-19-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917423-22L-120-19-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917423-22L-120-19-SOX2_R2.fastq.gz,auto,917423,SOX2,22L,120,group_22L_120,BATCH3,207,2025-05-06,19.67
917423-22L-120-19-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917423-22L-120-19-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917423-22L-120-19-PU1_R2.fastq.gz,auto,917423,PU1,22L,120,group_22L_120,BATCH3,207,2025-05-06,19.67
918309-CBH-60-4-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918309-CBH-60-4-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918309-CBH-60-4-NeuN_R2.fastq.gz,auto,918309,NeuN,CBH,60,group_CBH_60,BATCH4,240,2025-05-07,16.92
918309-CBH-60-4-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918309-CBH-60-4-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918309-CBH-60-4-SOX10_R2.fastq.gz,auto,918309,SOX10,CBH,60,group_CBH_60,BATCH4,240,2025-05-07,16.92
918309-CBH-60-4-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918309-CBH-60-4-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918309-CBH-60-4-SOX2_R2.fastq.gz,auto,918309,SOX2,CBH,60,group_CBH_60,BATCH4,240,2025-05-07,16.92
918309-CBH-60-4-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918309-CBH-60-4-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918309-CBH-60-4-PU1_R2.fastq.gz,auto,918309,PU1,CBH,60,group_CBH_60,BATCH4,240,2025-05-07,16.92
916462-RML-60-1-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916462-RML-60-1-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916462-RML-60-1-NeuN_R2.fastq.gz,auto,916462,NeuN,RML,60,group_RML_60,BATCH1,248,2025-05-08,18.5
916462-RML-60-1-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916462-RML-60-1-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916462-RML-60-1-SOX10_R2.fastq.gz,auto,916462,SOX10,RML,60,group_RML_60,BATCH1,248,2025-05-08,18.5
916462-RML-60-1-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916462-RML-60-1-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916462-RML-60-1-SOX2_R2.fastq.gz,auto,916462,SOX2,RML,60,group_RML_60,BATCH1,248,2025-05-08,18.5
916462-RML-60-1-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916462-RML-60-1-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916462-RML-60-1-PU1_R2.fastq.gz,auto,916462,PU1,RML,60,group_RML_60,BATCH1,248,2025-05-08,18.5
918277-RML-90-9-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918277-RML-90-9-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918277-RML-90-9-NeuN_R2.fastq.gz,auto,918277,NeuN,RML,90,group_RML_90,BATCH4,220,2025-05-08,18.98
918277-RML-90-9-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918277-RML-90-9-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918277-RML-90-9-SOX10_R2.fastq.gz,auto,918277,SOX10,RML,90,group_RML_90,BATCH4,220,2025-05-08,18.98
918277-RML-90-9-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918277-RML-90-9-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918277-RML-90-9-SOX2_R2.fastq.gz,auto,918277,SOX2,RML,90,group_RML_90,BATCH4,220,2025-05-08,18.98
918277-RML-90-9-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918277-RML-90-9-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918277-RML-90-9-PU1_R2.fastq.gz,auto,918277,PU1,RML,90,group_RML_90,BATCH4,220,2025-05-08,18.98
917432-RML-120-17-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917432-RML-120-17-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917432-RML-120-17-NeuN_R2.fastq.gz,auto,917432,NeuN,RML,120,group_RML_120,BATCH3,245,2025-05-12,19.0
917432-RML-120-17-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917432-RML-120-17-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917432-RML-120-17-SOX10_R2.fastq.gz,auto,917432,SOX10,RML,120,group_RML_120,BATCH3,245,2025-05-12,19.0
917432-RML-120-17-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917432-RML-120-17-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917432-RML-120-17-SOX2_R2.fastq.gz,auto,917432,SOX2,RML,120,group_RML_120,BATCH3,245,2025-05-12,19.0
917432-RML-120-17-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917432-RML-120-17-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/917432-RML-120-17-PU1_R2.fastq.gz,auto,917432,PU1,RML,120,group_RML_120,BATCH3,245,2025-05-12,19.0
918304-ME7-60-2-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918304-ME7-60-2-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918304-ME7-60-2-NeuN_R2.fastq.gz,auto,918304,NeuN,ME7,60,group_ME7_60,BATCH4,237,2025-05-12,19.33
918304-ME7-60-2-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918304-ME7-60-2-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918304-ME7-60-2-SOX10_R2.fastq.gz,auto,918304,SOX10,ME7,60,group_ME7_60,BATCH4,237,2025-05-12,19.33
918304-ME7-60-2-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918304-ME7-60-2-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918304-ME7-60-2-SOX2_R2.fastq.gz,auto,918304,SOX2,ME7,60,group_ME7_60,BATCH4,237,2025-05-12,19.33
918304-ME7-60-2-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918304-ME7-60-2-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918304-ME7-60-2-PU1_R2.fastq.gz,auto,918304,PU1,ME7,60,group_ME7_60,BATCH4,237,2025-05-12,19.33
918279-ME7-90-10-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918279-ME7-90-10-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918279-ME7-90-10-NeuN_R2.fastq.gz,auto,918279,NeuN,ME7,90,group_ME7_90,BATCH4,255,2025-05-13,17.83
918279-ME7-90-10-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918279-ME7-90-10-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918279-ME7-90-10-SOX10_R2.fastq.gz,auto,918279,SOX10,ME7,90,group_ME7_90,BATCH4,255,2025-05-13,17.83
918279-ME7-90-10-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918279-ME7-90-10-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918279-ME7-90-10-SOX2_R2.fastq.gz,auto,918279,SOX2,ME7,90,group_ME7_90,BATCH4,255,2025-05-13,17.83
918279-ME7-90-10-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918279-ME7-90-10-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918279-ME7-90-10-PU1_R2.fastq.gz,auto,918279,PU1,ME7,90,group_ME7_90,BATCH4,255,2025-05-13,17.83
916466-22L-60-3-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916466-22L-60-3-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916466-22L-60-3-NeuN_R2.fastq.gz,auto,916466,NeuN,22L,60,group_22L_60,BATCH1,251,2025-05-14,18.67
916466-22L-60-3-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916466-22L-60-3-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916466-22L-60-3-SOX10_R2.fastq.gz,auto,916466,SOX10,22L,60,group_22L_60,BATCH1,251,2025-05-14,18.67
916466-22L-60-3-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916466-22L-60-3-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916466-22L-60-3-SOX2_R2.fastq.gz,auto,916466,SOX2,22L,60,group_22L_60,BATCH1,251,2025-05-14,18.67
916466-22L-60-3-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916466-22L-60-3-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916466-22L-60-3-PU1_R2.fastq.gz,auto,916466,PU1,22L,60,group_22L_60,BATCH1,251,2025-05-14,18.67
916440-ME7-120-18-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916440-ME7-120-18-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916440-ME7-120-18-NeuN_R2.fastq.gz,auto,916440,NeuN,ME7,120,group_ME7_120,BATCH1,250,2025-05-14,19.25
916440-ME7-120-18-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916440-ME7-120-18-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916440-ME7-120-18-SOX10_R2.fastq.gz,auto,916440,SOX10,ME7,120,group_ME7_120,BATCH1,250,2025-05-14,19.25
916440-ME7-120-18-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916440-ME7-120-18-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916440-ME7-120-18-SOX2_R2.fastq.gz,auto,916440,SOX2,ME7,120,group_ME7_120,BATCH1,250,2025-05-14,19.25
916440-ME7-120-18-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916440-ME7-120-18-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916440-ME7-120-18-PU1_R2.fastq.gz,auto,916440,PU1,ME7,120,group_ME7_120,BATCH1,250,2025-05-14,19.25
918293-CBH-90-12-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918293-CBH-90-12-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918293-CBH-90-12-NeuN_R2.fastq.gz,auto,918293,NeuN,CBH,90,group_CBH_90,BATCH4,267,2025-05-15,17.45
918293-CBH-90-12-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918293-CBH-90-12-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918293-CBH-90-12-SOX10_R2.fastq.gz,auto,918293,SOX10,CBH,90,group_CBH_90,BATCH4,267,2025-05-15,17.45
918293-CBH-90-12-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918293-CBH-90-12-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918293-CBH-90-12-SOX2_R2.fastq.gz,auto,918293,SOX2,CBH,90,group_CBH_90,BATCH4,267,2025-05-15,17.45
918293-CBH-90-12-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918293-CBH-90-12-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/918293-CBH-90-12-PU1_R2.fastq.gz,auto,918293,PU1,CBH,90,group_CBH_90,BATCH4,267,2025-05-15,17.45
916504-ME7-90-10-NeuN,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916504-ME7-90-10-NeuN_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916504-ME7-90-10-NeuN_R2.fastq.gz,auto,916504,NeuN,ME7,90,group_ME7_90,BATCH2,242,2025-05-19,18.83
916504-ME7-90-10-SOX10,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916504-ME7-90-10-SOX10_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916504-ME7-90-10-SOX10_R2.fastq.gz,auto,916504,SOX10,ME7,90,group_ME7_90,BATCH2,242,2025-05-19,18.83
916504-ME7-90-10-SOX2,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916504-ME7-90-10-SOX2_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916504-ME7-90-10-SOX2_R2.fastq.gz,auto,916504,SOX2,ME7,90,group_ME7_90,BATCH2,242,2025-05-19,18.83
916504-ME7-90-10-PU1,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916504-ME7-90-10-PU1_R1.fastq.gz,/media/tmurphy/4TB_HDD/exp383/merged_fastq/916504-ME7-90-10-PU1_R2.fastq.gz,auto,916504,PU1,ME7,90,group_ME7_90,BATCH2,242,2025-05-19,18.83
