gene_id,id,astrocytes_1,astrocytes_2,endothelial_1,endothelial_2,microglia_macrophage_1,microglia_macrophage_2,myelinating_oligodendrocyte_1,myelinating_oligodendrocyte_2,neurons_1,neurons_2,newly_formed_oligodendrocyte_1,newly_formed_oligodendrocyte_2,opc_1,opc_2
"0610005C13Rik - Mus musculus",1918911,0.201916,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"0610007C21Rik - Mus musculus",1918918,47.817086,41.965434,59.616404,67.505813,76.007924,102.282142,55.130431,52.88176,33.617964,34.753022,47.260538,68.711317,57.766349,84.67626
"0610007L01Rik - Mus musculus",1918917,10.150859,11.879219,13.977514,13.065233,20.382338,16.542499,4.985148,7.293802,11.736483,12.320971,10.89421,17.222519,12.359584,14.212313
"0610007P08Rik - Mus musculus",1923501,7.892781,6.395439,4.509166,4.877362,0.518931,0.374869,2.469793,3.25741,1.268117,2.772699,8.072176,3.976475,6.023767,2.930384
"0610007P14Rik - Mus musculus",1915571,49.909998,47.961335,9.821941,11.316971,8.738046,12.084562,61.50594,67.063272,25.121255,23.619709,63.908388,72.585439,44.124845,64.825934
"0610007P22Rik - Mus musculus",1915577,8.177998,8.284716,5.769616,6.36389,6.874183,6.552887,8.534291,9.151196,12.693591,13.839052,7.714618,12.477969,7.044726,11.753315
"0610008F07Rik - Mus musculus",1915564,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"0610009B14Rik - Mus musculus",1915604,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"0610009B22Rik - Mus musculus",1913300,9.601983,8.581854,10.912308,13.155863,1.883624,3.331247,15.195024,13.837212,9.40276,9.335509,14.1681,13.51963,12.731388,11.627302
"0610009D07Rik - Mus musculus",1913305,18.907149,18.772386,28.807882,35.319605,13.041653,13.151086,29.428636,30.612958,24.947276,23.617726,34.430689,45.021381,30.774489,46.770038
"0610009L18Rik - Mus musculus",1914088,1.676699,2.046722,0.934722,1.507942,1.261062,0.929117,0.579283,3.188922,1.369173,2.015839,2.819311,4.249159,4.210721,5.775796
"0610009O20Rik - Mus musculus",1914089,16.887057,16.153458,17.262511,18.401284,22.499759,30.624672,11.047811,12.421246,10.222068,9.896598,12.817733,16.73803,18.055663,25.896245
"0610010B08Rik - Mus musculus",3782813,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"0610010F05Rik - Mus musculus",1918925,5.394191,4.868813,5.497821,6.235729,0.812323,0.449832,3.630108,4.241063,10.488287,15.210373,8.871198,3.954725,6.892316,2.947332
"0610010K14Rik - Mus musculus",1915609,9.869824,12.093317,45.451279,47.793967,47.806279,53.733523,13.125298,16.379618,21.678536,20.256987,13.06986,18.798011,23.184525,29.27518
"0610010O12Rik - Mus musculus",1913310,13.005087,14.463941,2.24047,2.779503,2.765279,1.982023,24.254657,22.218651,20.14547,19.792239,11.645467,12.428512,8.3414,15.79261
"0610011F06Rik - Mus musculus",1915597,4.672537,5.914405,8.392485,10.963062,3.770181,5.176932,8.2266,7.343448,8.628014,9.493469,5.990677,7.297216,10.736339,14.875623
"0610011L14Rik - Mus musculus",1915545,6.577999,6.573618,7.583892,7.81893,5.981533,8.354784,6.622599,6.663461,6.333783,6.195483,7.844175,11.751391,5.829075,10.148047
"0610012G03Rik - Mus musculus",1913301,8.221129,7.600658,16.408231,18.65722,22.36563,22.953444,14.635073,15.6096,13.67541,14.230347,11.775651,17.888803,11.907411,22.912414
"0610012H03Rik - Mus musculus",1921338,0.1,0.116504,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.10656,0.109345,0.420668,0.223597
"0610030E20Rik - Mus musculus",1915614,5.486161,5.185661,1.182976,1.489335,2.654072,2.031178,0.971391,1.06421,3.32842,2.9405,3.231712,2.133457,4.461462,2.623977
"0610031J06Rik - Mus musculus",1913318,29.481703,24.02083,80.047681,80.6732,117.554374,163.873461,30.638512,29.234595,10.158489,10.094607,19.887847,28.56815,28.422671,39.593151
"0610037L13Rik - Mus musculus",1921348,21.144663,17.454258,20.017758,23.880654,13.565718,12.611867,8.041373,9.728759,7.811558,11.102675,10.848612,12.978261,16.487107,21.436609
"0610037P05Rik - Mus musculus",1913336,16.166767,16.786012,19.699131,23.269192,9.210326,8.33198,21.085239,21.51021,20.384682,20.623748,24.231567,29.490022,26.36555,33.418019
"0610038B21Rik - Mus musculus",1917595,0.1,0.1,0.1,0.142732,0.1,0.1,0.1,0.1,0.149279,0.15598,0.1,0.1,0.24586,0.1
"0610039K10Rik - Mus musculus",1915636,0.210544,0.136369,0.396795,0.760559,0.449098,0.399561,0.1,0.104921,0.506033,0.104651,0.131617,0.139732,0.198547,0.162713
"0610040B10Rik - Mus musculus",1914922,1.712985,1.455312,2.938427,2.784233,0.794457,0.628127,2.955016,3.15035,1.836731,1.233121,2.898408,3.825241,2.290909,3.708619
"0610040F04Rik - Mus musculus",1922644,0.154061,0.186195,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.318487
"0610040J01Rik - Mus musculus",1923511,16.470763,11.427297,0.1,0.15775,41.666564,51.198404,3.952933,4.929304,0.692181,2.006521,6.081564,7.800199,28.475773,38.606787
"0610043K17Rik - Mus musculus",1915650,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.120117,0.1,0.1,0.1,0.1,0.1
"0910001L09Rik - Mus musculus",1913346,13.203273,11.467071,22.959242,28.374807,37.236048,72.288641,32.279096,32.335286,21.128909,21.341241,26.364696,36.081433,24.369281,31.019557
"1100001G20Rik - Mus musculus",1913357,0.1,0.1,0.1,0.1,0.377272,1.004805,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"1110001A16Rik - Mus musculus",1915804,2.715044,2.49679,9.629345,10.649901,8.240535,9.65827,3.495541,3.484246,4.33403,5.100341,4.880996,4.232625,5.210264,6.416237
"1110002B05Rik - Mus musculus",1913399,24.269883,34.433669,109.529043,125.493446,22.177661,17.665423,63.315121,53.187045,24.996682,22.216325,65.35683,45.889884,59.324902,47.873206
"1110002L01Rik - Mus musculus",1915821,0.609311,0.509292,0.212747,0.199154,0.25529,0.233595,0.414788,0.438608,1.27436,1.490991,1.027453,0.993366,0.912973,0.859785
"1110002N22Rik - Mus musculus",1915800,2.921619,2.370831,1.857205,2.074916,2.090085,2.206049,0.894742,0.752145,1.364571,1.076918,1.057032,0.867324,1.497272,1.366489
"1110003E01Rik - Mus musculus",1915802,11.639611,13.282941,29.690767,30.368273,22.115997,25.892354,44.756223,41.782676,31.934304,28.174302,32.316018,34.949008,25.842023,31.941023
"1110004E09Rik - Mus musculus",1915251,5.240518,6.441803,11.27273,12.061856,2.176421,3.315047,4.327655,4.772404,10.099378,8.991505,7.478131,6.929626,9.885071,14.6774
"1110004F10Rik - Mus musculus",1929274,22.095282,23.676137,32.124542,38.285341,12.232995,12.724844,21.853509,25.525267,46.630331,49.793378,42.362115,41.724797,36.363165,48.024456
"1110005A03Rik - Mus musculus",3652004,5.401098,4.400593,5.733474,6.177168,4.713077,4.458529,6.682568,6.501137,5.025685,4.947554,6.335057,7.389934,6.12652,8.397399
"1110006O24Rik - Mus musculus",1913373,1.179564,0.775694,0.706655,0.496714,0.202673,0.716438,0.698982,1.14394,0.226779,0.227016,1.218875,0.981994,0.679031,0.56935
"1110007C09Rik - Mus musculus",1915730,7.017891,6.813118,29.410746,33.030555,101.673771,101.59109,85.614096,86.744429,8.424004,9.818803,45.806503,56.631943,6.067635,6.021449
"1110008F13Rik - Mus musculus",1914638,48.138306,39.781329,47.444257,60.373159,47.162264,55.990833,36.604138,41.090692,36.326518,34.036235,33.94409,45.27365,37.121014,50.664168
"1110008J03Rik - Mus musculus",1922021,7.516663,5.484692,2.927175,3.852377,2.146875,3.193134,3.274558,3.371462,8.093321,7.861037,4.208697,6.494567,5.753555,8.993805
"1110008L16Rik - Mus musculus",1913382,3.029104,2.554417,4.298376,4.835993,1.066754,0.583495,0.724181,1.102666,1.166235,1.917809,2.022813,2.480317,2.119782,2.187124
"1110008P14Rik - Mus musculus",1920987,6.904077,6.474548,9.813838,10.944394,7.515904,12.131934,23.537019,28.888986,22.056706,18.451111,14.695717,18.478017,9.521979,16.638343
"1110012D08Rik - Mus musculus",1921077,33.441388,25.751118,20.701701,21.081405,10.789777,12.876424,9.232509,9.686656,3.391608,4.609338,12.318647,13.119057,14.79616,16.434608
"1110012J17Rik - Mus musculus",1915867,3.374422,2.453276,3.721992,3.211845,0.14657,0.207536,0.48362,0.905794,12.062777,22.069763,1.623202,2.231344,6.069317,6.656559
